,Player Name,Agent Name,R,ACS,K,D,K/D +/–,+/–,ADR,HS%,FK,FK/FD +/–,+/–,Team Name,Map Name,Map #,Stage,Series
85,Fizzy,Killjoy,"0.99
1.10
0.72","189
227
101","12
10
2","

11
8
3

","2
1
1","+1
+2
-1","137
164
73","19%
19%
20%","3
3
0","2
2
0","+1
+1
0",SAW,Haven,3,Playoffs,Lower Round 1
86,DaviH,Omen,"0.96
1.19
0.42","205
271
50","12
11
1","

13
9
4

","9
7
2","-1
+2
-3","135
182
21","37%
35%
100%","1
1
0","1
0
1","0
+1
-1",SAW,Haven,3,Playoffs,Lower Round 1
87,Addicted,Breach,"0.81
0.77
0.92","174
160
209","10
7
3","

13
10
3

","6
5
1","-3
-3
0","121
97
176","38%
47%
22%","1
0
1","0
0
0","+1
0
+1",SAW,Haven,3,Playoffs,Lower Round 1
88,tomaszy,Jett,"0.76
0.59
1.14","186
160
251","12
7
5","

15
11
4

","2
1
1","-3
-4
+1","117
100
157","23%
22%
23%","3
1
2","2
2
0","+1
-1
+2",SAW,Haven,3,Playoffs,Lower Round 1
89,Bati,Sova,"0.70
0.64
0.85","173
162
201","10
6
4","

14
10
4

","5
3
2","-4
-4
0","110
96
144","35%
40%
30%","2
1
1","2
2
0","0
-1
+1",SAW,Haven,3,Playoffs,Lower Round 1
90,ALIVE,Jett,"1.41
1.40
1.42","284
288
281","23
12
11","

14
8
6

","3
3
0","+9
+4
+5","180
200
156","34%
36%
31%","6
4
2","2
1
1","+4
+3
+1",Acend,Fracture,1,Playoffs,Upper Semifinals
91,Br0die,Breach,"1.19
0.96
1.45","140
86
207","10
3
7","

9
5
4

","14
6
8","+1
-2
+3","88
53
129","20%
30%
15%","0
0
0","1
1
0","-1
-1
0",Acend,Fracture,1,Playoffs,Upper Semifinals
92,musashi,Fade,"1.11
1.01
1.23","166
157
178","13
6
7","

12
7
5

","10
7
3","+1
-1
+2","114
98
133","41%
43%
39%","2
1
1","1
0
1","+1
+1
0",Acend,Fracture,1,Playoffs,Upper Semifinals
93,baddyG,Astra,"1.09
1.39
0.74","228
278
171","20
14
6","

15
7
8

","5
2
3","+5
+7
-2","120
141
93","24%
22%
29%","2
1
1","2
1
1","0
0
0",Acend,Fracture,1,Playoffs,Upper Semifinals
94,MONSTEERR,Killjoy,"0.92
0.81
1.05","142
141
145","11
6
5","

11
6
5

","1
0
1","0
0
0","91
80
104","16%
17%
13%","3
1
2","3
2
1","0
-1
+1",Acend,Fracture,1,Playoffs,Upper Semifinals
95,TakaS,Raze,"1.18
0.66
1.61","208
160
248","17
5
12","

15
9
6

","1
0
1","+2
-4
+6","122
93
146","25%
36%
19%","4
2
2","5
4
1","-1
-2
+1",Gentle Mates,Fracture,1,Playoffs,Upper Semifinals
96,beyAz,Kayo,"1.08
1.23
0.96","208
263
162","15
10
5","

12
5
7

","5
1
4","+3
+5
-2","134
168
105","33%
36%
29%","2
0
2","2
1
1","0
-1
+1",Gentle Mates,Fracture,1,Playoffs,Upper Semifinals
97,nataNk,Breach,"0.74
0.47
0.97","169
147
187","11
5
6","

16
8
8

","4
1
3","-5
-3
-2","114
93
132","20%
13%
24%","2
1
1","1
1
0","+1
0
+1",Gentle Mates,Fracture,1,Playoffs,Upper Semifinals
98,logaN,Killjoy,"0.65
0.78
0.55","163
149
176","12
4
8","

18
7
11

","3
2
1","-6
-3
-3","110
100
118","20%
16%
22%","1
1
0","3
0
3","-2
+1
-3",Gentle Mates,Fracture,1,Playoffs,Upper Semifinals
99,Wailers,Brimstone,"0.58
0.85
0.35","80
116
51","6
4
2","

16
7
9

","4
3
1","-10
-3
-7","62
99
31","28%
31%
20%","0
0
0","2
0
2","-2
0
-2",Gentle Mates,Fracture,1,Playoffs,Upper Semifinals
100,ALIVE,Raze,"1.74
1.41
2.51","333
273
479","19
11
8","

9
7
2

","6
4
2","+10
+4
+6","241
214
306","25%
24%
25%","5
3
2","2
1
1","+3
+2
+1",Acend,Lotus,2,Playoffs,Upper Semifinals
101,musashi,Killjoy,"1.26
1.24
1.31","220
203
264","15
10
5","

8
6
2

","3
2
1","+7
+4
+3","151
136
190","49%
52%
43%","1
0
1","0
0
0","+1
0
+1",Acend,Lotus,2,Playoffs,Upper Semifinals
102,baddyG,Omen,"1.18
1.17
1.20","201
219
158","13
10
3","

9
7
2

","8
5
3","+4
+3
+1","112
116
102","23%
17%
36%","0
0
0","2
2
0","-2
-2
0",Acend,Lotus,2,Playoffs,Upper Semifinals
103,Br0die,Fade,"0.99
1.12
0.66","131
151
85","8
6
2","

9
6
3

","9
7
2","-1
0
-1","89
97
68","25%
20%
50%","0
0
0","0
0
0","0
0
0",Acend,Lotus,2,Playoffs,Upper Semifinals
104,MONSTEERR,Viper,"0.85
0.64
1.35","162
130
242","9
4
5","

11
8
3

","6
5
1","-2
-4
+2","124
100
181","36%
35%
36%","3
2
1","4
4
0","-1
-2
+1",Acend,Lotus,2,Playoffs,Upper Semifinals
105,logaN,Killjoy,"1.11
0.48
1.37","229
138
268","12
2
10","

12
4
8

","2
0
2","0
-2
+2","150
90
175","22%
33%
20%","1
0
1","1
0
1","0
0
0",Gentle Mates,Lotus,2,Playoffs,Upper Semifinals
106,beyAz,Skye,"1.02
0.81
1.11","158
146
164","9
2
7","

11
6
5

","6
2
4","-2
-4
+2","112
114
111","41%
70%
27%","0
0
0","0
0
0","0
0
0",Gentle Mates,Lotus,2,Playoffs,Upper Semifinals
107,TakaS,Jett,"0.91
0.61
1.04","227
228
227","14
4
10","

14
5
9

","1
1
0","0
-1
+1","139
140
138","24%
13%
33%","4
0
4","4
2
2","0
-2
+2",Gentle Mates,Lotus,2,Playoffs,Upper Semifinals
108,nataNk,Phoenix,"0.66
0.41
0.77","150
117
164","8
2
6","

14
5
9

","4
1
3","-6
-3
-3","96
70
107","24%
17%
26%","3
1
2","4
2
2","-1
-1
0",Gentle Mates,Lotus,2,Playoffs,Upper Semifinals
109,Wailers,Astra,"0.41
0.55
0.35","70
107
55","3
2
1","

13
4
9

","1
0
1","-10
-2
-8","54
69
48","17%
13%
20%","0
0
0","0
0
0","0
0
0",Gentle Mates,Lotus,2,Playoffs,Upper Semifinals
