Player Name,Agent Name,R,ACS,K,D,K/D +/–,+/–,ADR,HS%,FK,FK/FD +/–,+/–,Team Name,Map Name,Map #,Stage,Series,winner,rounds,Id
ANGE1,Gekko,"0.78
0.66
0.93","172
167
181","14
8
6","

18
10
8

","3
2
1","-4
-2
-2","121
119
123","32%
38%
27%","2
1
1","2
2
0","0
-1
+1",Natus Vincere,Bind,1,Group Stage,Opening (B),Natus Vincere,"0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0",3
pAura,Breach,"1.17
0.78
1.46","238
147
307","20
4
16","

15
7
8

","3
3
0","+5
-3
+8","143
86
185","37%
40%
35%","4
2
2","2
2
0","+2
0
+2",BBL Esports,Bind,1,Group Stage,Opening (B),Natus Vincere,"1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1",3
Brave,Brimstone,"1.10
1.17
1.05","229
264
203","17
8
9","

17
8
9

","10
5
5","0
0
0","150
149
151","35%
44%
29%","1
1
0","3
1
2","-2
0
-2",BBL Esports,Bind,1,Group Stage,Opening (B),Natus Vincere,"1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1",3
Elite,Viper,"1.06
1.14
1.00","209
215
206","15
7
8","

15
6
9

","10
5
5","0
+1
-1","122
127
118","50%
45%
53%","3
0
3","1
0
1","+2
0
+2",BBL Esports,Bind,1,Group Stage,Opening (B),Natus Vincere,"1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1",3
QutionerX,Raze,"1.05
0.90
1.17","224
180
257","16
5
11","

17
7
10

","5
4
1","-1
-2
+1","143
114
165","20%
24%
18%","4
2
2","3
1
2","+1
+1
0",BBL Esports,Bind,1,Group Stage,Opening (B),Natus Vincere,"1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1",3
reazy,Skye,"0.86
0.76
0.93","153
194
123","11
6
5","

14
8
6

","11
6
5","-3
-2
-1","112
128
100","16%
20%
13%","0
0
0","0
0
0","0
0
0",BBL Esports,Bind,1,Group Stage,Opening (B),Natus Vincere,"1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1",3
Zyppan,Kayo,"1.48
1.54
1.45","280
308
265","20
8
12","

12
4
8

","16
5
11","+8
+4
+4","161
183
147","30%
23%
38%","2
1
1","2
0
2","0
+1
-1",Natus Vincere,Ascent,2,Group Stage,Opening (B),Natus Vincere,"1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1",3
SUYGETSU,Cypher,"1.38
2.00
1.02","247
351
186","17
9
8","

9
2
7

","4
2
2","+8
+7
+1","157
194
136","45%
75%
32%","1
0
1","2
1
1","-1
-1
0",Natus Vincere,Ascent,2,Group Stage,Opening (B),Natus Vincere,"1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1",3
Shao,Omen,"1.27
1.69
1.03","204
197
209","12
6
6","

11
2
9

","10
2
8","+1
+4
-3","133
139
129","37%
50%
30%","2
0
2","2
1
1","0
-1
+1",Natus Vincere,Ascent,2,Group Stage,Opening (B),Natus Vincere,"1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1",3
ANGE1,Sova,"1.10
1.28
1.00","213
219
210","14
6
8","

11
4
7

","3
1
2","+3
+2
+1","140
145
137","50%
86%
37%","3
1
2","1
0
1","+2
+1
+1",Natus Vincere,Ascent,2,Group Stage,Opening (B),Natus Vincere,"1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1",3
