Player Name,Agent Name,R,ACS,K,D,K/D +/–,+/–,ADR,HS%,FK,FK/FD +/–,+/–,Team Name,Map Name,Map #,Stage,Series,winner,rounds,Id
johnqt,Cypher,"0.95
0.74
1.16","170
177
164","15
8
7","

14
9
5

","3
1
2","+1
-1
+2","107
104
110","17%
47%
5%","2
1
1","3
3
0","-1
-2
+1",Sentinels,Split,1,Group Stage,Opening (B),LOUD,"1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0",3
Zellsis,Viper,"0.81
0.43
1.18","204
135
274","15
4
11","

19
10
9

","10
3
7","-4
-6
+2","125
94
156","28%
25%
30%","1
0
1","1
1
0","0
-1
+1",Sentinels,Split,1,Group Stage,Opening (B),LOUD,"1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0",3
Sacy,Skye,"0.63
0.58
0.67","105
123
89","7
4
3","

20
11
9

","8
3
5","-13
-7
-6","69
85
54","23%
24%
23%","1
0
1","2
2
0","-1
-2
+1",Sentinels,Split,1,Group Stage,Opening (B),LOUD,"1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0",3
cauanzin,Breach,"1.26
0.88
1.72","212
194
234","18
9
9","

13
9
4

","10
3
7","+5
0
+5","128
111
149","33%
37%
30%","3
2
1","3
3
0","0
-1
+1",LOUD,Ascent,2,Group Stage,Opening (B),LOUD,"1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1",3
Quick,Phoenix,"1.16
0.76
1.64","207
173
249","17
7
10","

13
9
4

","6
2
4","+4
-2
+6","129
101
163","23%
18%
28%","4
2
2","1
1
0","+3
+1
+2",LOUD,Ascent,2,Group Stage,Opening (B),LOUD,"1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1",3
Less,Viper,"1.09
0.82
1.41","208
136
295","15
4
11","

16
9
7

","11
3
8","-1
-5
+4","151
104
208","28%
18%
36%","3
1
2","1
0
1","+2
+1
+1",LOUD,Ascent,2,Group Stage,Opening (B),LOUD,"1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1",3
saadhak,Kayo,"1.02
0.39
1.78","170
78
280","11
2
9","

14
10
4

","12
5
7","-3
-8
+5","111
60
173","22%
14%
27%","2
0
2","3
2
1","-1
-2
+1",LOUD,Ascent,2,Group Stage,Opening (B),LOUD,"1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1",3
tuyz,Omen,"0.70
0.52
0.91","89
96
82","7
4
3","

14
10
4

","11
6
5","-7
-6
-1","57
67
45","25%
44%
9%","0
0
0","2
1
1","-2
-1
-1",LOUD,Ascent,2,Group Stage,Opening (B),LOUD,"1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1",3
Sacy,Sova,"1.50
0.56
2.29","331
122
505","24
4
20","

14
9
5

","9
2
7","+10
-5
+15","224
83
342","26%
13%
29%","3
0
3","2
1
1","+1
-1
+2",Sentinels,Ascent,2,Group Stage,Opening (B),LOUD,"0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0",3
johnqt,Killjoy,"1.09
0.95
1.20","202
232
179","14
8
6","

13
10
3

","8
2
6","+1
-2
+3","144
175
118","24%
26%
22%","1
0
1","0
0
0","+1
0
+1",Sentinels,Ascent,2,Group Stage,Opening (B),LOUD,"0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0",3
zekken,Jett,"0.94
0.70
1.15","190
153
221","14
4
10","

16
10
6

","4
3
1","-2
-6
+4","118
119
118","23%
29%
17%","4
1
3","4
3
1","0
-2
+2",Sentinels,Ascent,2,Group Stage,Opening (B),LOUD,"0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0",3
TenZ,Omen,"0.90
0.57
1.17","109
104
114","7
3
4","

12
9
3

","15
5
10","-5
-6
+1","78
63
90","27%
20%
31%","1
1
0","2
1
1","-1
0
-1",Sentinels,Ascent,2,Group Stage,Opening (B),LOUD,"0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0",3
